Dates,Close
2022-01-17,86.62
2022-01-18,87.63
2022-01-19,88.39
2022-01-20,88.38
2022-01-21,87.95
2022-01-24,86.34
2022-01-25,88.29
2022-01-26,90.02
2022-01-27,89.43
2022-01-28,89.97
2022-01-31,91.35
2022-02-01,89.24
2022-02-02,89.58
2022-02-03,91.14
2022-02-04,93.36
2022-02-07,92.78
2022-02-08,91.0
2022-02-09,91.65
2022-02-10,91.47
2022-02-11,94.6
2022-02-14,96.61
2022-02-15,93.38
2022-02-16,95.08
2022-02-17,93.17
2022-02-18,93.32
2022-02-21,96.75
2022-02-22,96.91
2022-02-23,96.99
2022-02-24,99.09
2022-02-25,97.99
2022-02-28,101.23
2022-03-01,105.04
2022-03-02,113.25
2022-03-03,110.62
2022-03-04,118.31
2022-03-07,123.12
2022-03-08,128.15
2022-03-09,111.84
2022-03-10,109.45
2022-03-11,112.71
2022-03-14,105.31
2022-03-15,99.26
2022-03-16,98.31
2022-03-17,107.06
2022-03-18,107.79
2022-03-21,116.67
2022-03-22,115.41
2022-03-23,121.77
2022-03-24,118.23
2022-03-25,119.92
2022-03-28,112.45
2022-03-29,110.45
2022-03-30,113.54
2022-03-31,107.46
2022-04-01,104.53
